trial_num,number,letter,trans,trial_type,correct
1,1,A,1,1,0
2,8,M,1,1,1
3,9,U,1,1,0
4,6,A,2,2,0
5,2,U,3,3,1
6,8,G,3,1,1
7,3,K,3,3,0
8,6,R,3,2,0
9,1,M,3,3,0
10,8,U,3,1,1
11,6,I,1,1,1
12,1,K,2,2,1
13,4,R,2,1,1
14,7,U,2,2,0
15,6,R,1,2,0
16,7,G,2,1,0
17,2,U,2,2,1
18,7,K,2,1,0
19,2,G,3,3,0
20,4,R,1,3,0
21,6,M,3,2,0
22,1,G,2,1,0
23,3,U,1,1,0
24,7,I,2,2,0
25,9,U,1,2,0
26,7,M,1,2,0
27,4,A,3,3,1
28,3,M,3,1,0
29,8,E,3,3,1
30,7,U,1,3,1
31,3,G,1,3,0
32,8,I,1,3,1
33,6,R,1,3,0
34,3,E,1,3,1
35,6,I,3,1,1
36,1,U,1,1,0
37,8,R,2,2,0
38,7,A,3,3,1
39,9,E,3,2,0
40,8,A,1,2,0
41,1,E,1,2,1
42,9,K,2,1,0
43,7,R,3,3,0
44,3,M,3,2,1
45,8,U,2,1,1
46,7,E,1,1,0
47,6,I,2,2,0
48,1,E,2,1,0
49,7,R,2,2,0
50,2,E,3,3,1
51,7,A,1,3,1
52,8,U,3,2,0
53,7,R,2,1,0
54,4,I,1,1,1
55,9,E,3,3,1
56,7,U,1,3,1
57,9,M,1,3,0
58,7,K,1,3,0
59,4,A,3,1,1
60,2,K,2,2,1
61,3,G,1,2,1
62,9,U,2,1,0
63,7,A,2,2,0
64,9,M,2,1,0
65,2,G,2,2,1
66,8,A,1,2,0
67,1,I,2,1,0
68,9,M,1,1,0
69,3,U,3,3,1
70,8,K,3,1,1
71,3,I,2,2,1
72,2,K,1,2,1
73,3,R,3,3,0
74,9,A,3,2,0
75,8,I,1,2,0
76,7,M,3,3,0
77,4,R,3,1,1
78,1,A,2,2,1
79,8,M,3,3,0
80,2,I,3,2,1
81,8,U,1,2,0
82,4,A,1,2,1
83,1,I,3,3,1
84,8,M,1,3,0
85,4,K,3,2,1
86,7,G,2,1,0
87,2,K,1,1,1
88,9,R,2,2,0
89,2,G,2,1,1
90,9,E,3,3,1
91,7,M,3,1,0
92,8,K,3,3,0
93,9,K,3,2,0
94,3,U,3,3,1
95,8,E,3,2,0
96,1,U,3,3,1
97,6,M,1,3,0
98,9,U,1,3,1
99,3,G,3,2,1
100,2,M,2,1,1
101,1,R,3,3,0
102,4,I,1,3,1
103,7,U,1,3,1
104,2,E,1,3,1
105,7,M,3,1,0
106,9,I,1,1,0
107,8,K,2,2,0
108,7,R,2,1,0
109,9,M,1,1,0
110,1,I,1,1,0
